concept,doculect,counterpart,cc,inferredCC,db
rightside,FAROESE,ˈɹaʰtːʊɹ,right:C,ielex:rightside:14,ielex
rightside,FAROESE,ˈhøːɡ̊ɹɪ,rightside:M,ielex:rightside:3,ielex
rightside,FRENCH,ʒyst,right:L,ielex:rightside:2,ielex
rightside,FRENCH,dʀwɑ,rightside:D,ielex:rightside:20,ielex
rightside,GERMAN,rɛçt,right:C,ielex:rightside:21,ielex
rightside,GERMAN,rɛçt,rightside:D,ielex:rightside:2,ielex
rightside,GREEK,so̞ˈsto̞s,right:N,ielex:rightside:22,ielex
rightside,GREEK,ðe̞ˌksiˈo̞s,rightside:G,ielex:rightside:10,ielex
rightside,GUTNISH_LAU,ˈreːtar,right:C,ielex:rightside:7,ielex
rightside,GUTNISH_LAU,ˈhyːɡar,rightside:M,ielex:rightside:3,ielex
rightside,ICELANDIC,ˈrjɛʰtːʏr,right:C,ielex:rightside:23,ielex
rightside,ICELANDIC,ˈhaiɣrɪ,rightside:M,ielex:rightside:3,ielex
rightside,IRISH,dʲas,rightside:G,ielex:rightside:8,ielex
rightside,ITALIAN,dʒusto,right:L,ielex:rightside:24,ielex
rightside,ITALIAN,dɛstro,rightside:G,ielex:rightside:7,ielex
rightside,LATIN,ˈrektus,right:C,ielex:rightside:25,ielex
rightside,LATIN,ˈdekster,rightside:G,ielex:rightside:7,ielex
rightside,MACEDONIAN,ˈpravilɛn,right:K,ielex:rightside:1,ielex
rightside,MACEDONIAN,ˈdesɛn,rightside:G,ielex:rightside:4,ielex
rightside,MAGAHI,tʰik,right:H,ielex:rightside:26,ielex
rightside,MAGAHI,d̪əhinɑ_t̪ərəpʰ,rightside:G,ielex:rightside:4,ielex
rightside,MARATHI,bəɾobəɾ,right:G,ielex:rightside:27,ielex
rightside,MARATHI,kʰəɾə,right:W,ielex:rightside:28,ielex
rightside,MIDDLE_BRETON,ˈreːθ,right:C,ielex:rightside:29,ielex
rightside,MIDDLE_BRETON,ˈdeːhow,rightside:G,ielex:rightside:5,ielex
rightside,MIDDLE_CORNISH,dɪhɔʊ,rightside:G,ielex:rightside:5,ielex
rightside,NORWEGIAN_RIKSMAL,rɛtː,right:C,ielex:rightside:30,ielex
rightside,NORWEGIAN_RIKSMAL,ˈhœʏɾə,rightside:M,ielex:rightside:3,ielex
rightside,OLD_CHURCH_SLAVONIC,prɑvʊ̆,right:K,ielex:rightside:1,ielex
rightside,OLD_CHURCH_SLAVONIC,dɛsnʊ̆,rightside:G,ielex:rightside:4,ielex
rightside,OLD_IRISH,kʹert,right:Z,ielex:rightside:31,ielex
rightside,OLD_IRISH,ko:rʹ,right:J,ielex:rightside:32,ielex
rightside,OLD_IRISH,dʹes,rightside:G,ielex:rightside:8,ielex
rightside,OLD_NORSE,reːtːr,right:C,ielex:rightside:33,ielex
rightside,OLD_NORSE,ˈhøːɡri,rightside:M,ielex:rightside:3,ielex
rightside,OLD_SWEDISH,ˈrætːer,right:C,ielex:rightside:34,ielex
rightside,OLD_SWEDISH,ˈhøːɡre,rightside:M,ielex:rightside:3,ielex
rightside,ORIYA,sɔʈhik,right:H,ielex:rightside:35,ielex
rightside,ORIYA,ɖahanɔ,rightside:G,ielex:rightside:4,ielex
rightside,OSSETIC,rast,right:D,ielex:rightside:36,ielex
rightside,OSSETIC,rast,rightside:R,ielex:rightside:2,ielex
rightside,OSSETIC_DIGOR,rast,right:D,ielex:rightside:37,ielex
rightside,OSSETIC_DIGOR,raχes,rightside:R,ielex:rightside:2,ielex
rightside,OSSETIC_IRON,rašt,right:D,ielex:rightside:38,ielex
rightside,OSSETIC_IRON,raχiž,rightside:R,ielex:rightside:2,ielex
rightside,POLISH,pɔˈpravnɘ̟,right:K,ielex:rightside:1,ielex
rightside,POLISH,ˈpravɘ̟,rightside:L,ielex:rightside:1,ielex
rightside,PORTUGUESE,kuˈʀɛtu,right:M,ielex:rightside:39,ielex
rightside,PORTUGUESE,diˈɾɐjtu,right:C,ielex:rightside:40,ielex
rightside,PORTUGUESE,diˈɾejtɐ,rightside:D,ielex:rightside:6,ielex
rightside,RUSSIAN,pravʲilʲnɨj,right:K,ielex:rightside:1,ielex
rightside,RUSSIAN,pravɨj,rightside:L,ielex:rightside:1,ielex
rightside,SERBO-CROATIAN,ˈîspraːvan,right:K,ielex:rightside:1,ielex
rightside,SERBO-CROATIAN,ˈtɔ̂tʃan,right:Ad,ielex:rightside:41,ielex
rightside,SERBO-CROATIAN,ˈdɛ̌sniː,rightside:G,ielex:rightside:4,ielex
rightside,SLOVAK,ˈspraːvni,right:K,ielex:rightside:1,ielex
rightside,SLOVAK,ˈpraviː,rightside:L,ielex:rightside:1,ielex
rightside,SLOVENIAN,praw,right:K,ielex:rightside:1,ielex
rightside,SLOVENIAN,děːsni,rightside:G,ielex:rightside:4,ielex
rightside,SORBIAN_LOWER,ˈpʂawɘ̟,right:K,ielex:rightside:42,ielex
rightside,SORBIAN_LOWER,ˈpʂawɘ̟,rightside:L,ielex:rightside:1,ielex
rightside,SORBIAN_UPPER,ˈpʀawɘ̟,right:K,ielex:rightside:43,ielex
rightside,SORBIAN_UPPER,ˈpʀawɘ̟,rightside:L,ielex:rightside:1,ielex
rightside,SPANISH,korekto,right:M,ielex:rightside:44,ielex
rightside,SPANISH,deɾeʧa,rightside:D,ielex:rightside:6,ielex
rightside,STAVANGERSK,ˈʁɛtːə,right:C,ielex:rightside:45,ielex
rightside,STAVANGERSK,ˈhʏ̀ɡʁə,rightside:M,ielex:rightside:3,ielex
rightside,SWEDISH,ˈrɪ̀ktɪɡ,right:C,ielex:rightside:46,ielex
rightside,SWEDISH,rɛtː,right:C,ielex:rightside:47,ielex
rightside,SWEDISH,ˈhø:gər,rightside:M,ielex:rightside:3,ielex
rightside,UKRAINIAN,ˈpravɪlʲnɪj,right:K,ielex:rightside:48,ielex
rightside,UKRAINIAN,ˈpravɪj,rightside:L,ielex:rightside:1,ielex
rightside,URDU,d̪ɑjɑ̃,rightside:A,ielex:rightside:49,ielex
rightside,URDU,sid̪ʰe,rightside:P,ielex:rightside:50,ielex
right,ANCIENT_GREEK,ortʰós,right:F,ielex:right:7,ielex
right,ANCIENT_GREEK,deksiós,rightside:G,ielex:right:6,ielex
right,ARMENIAN_EASTERN,ɑʧʰ,rightside:H,ielex:right:9,ielex
right,ASSAMESE,xõ,rightside:C,ielex:right:13,ielex
right,BELARUSIAN,ˈpravʲilʲnɨ,right:K,ielex:right:1,ielex
right,BELARUSIAN,ˈpravɨ,rightside:L,ielex:right:1,ielex
right,BIHARI,ʈhick,right:H,ielex:right:5,ielex
right,BIHARI,dəhina,rightside:G,ielex:right:53,ielex
right,BRETON,ˈreːjs,right:C,ielex:right:8,ielex
right,BRETON,ˈdeːhoʷ,rightside:G,ielex:right:52,ielex
right,BULGARIAN,ˈpravilɘn,right:K,ielex:right:1,ielex
right,BULGARIAN,dɘˈsɛn,rightside:G,ielex:right:54,ielex
right,CATALAN,kurektə,right:M,ielex:right:6,ielex
right,CATALAN,rɛktə,right:C,ielex:right:2,ielex
right,CATALAN,ʒus,right:L,ielex:right:3,ielex
right,CATALAN,dɾɛt,right:C,ielex:right:14,ielex
right,CATALAN,dɾɛt,rightside:D,ielex:right:2,ielex
right,CLASSICAL_ARMENIAN,owłił,right:R,ielex:right:10,ielex
right,CLASSICAL_ARMENIAN,aǰ,rightside:H,ielex:right:2,ielex
right,CZECH,ˈspraːvniː,right:K,ielex:right:1,ielex
right,CZECH,ˈpraviː,rightside:L,ielex:right:1,ielex
right,DANISH,ʁad̥ʰ,right:C,ielex:right:2,ielex
right,DANISH,ˈhʌjʁʌ,rightside:M,ielex:right:15,ielex
right,DANISH_FJOLDE,ɹeæd,right:C,ielex:right:2,ielex
right,DANISH_FJOLDE,ˈhøjəɹ,rightside:M,ielex:right:16,ielex
right,DUTCH,ɣut,right:V,ielex:right:11,ielex
right,DUTCH,rɛχt,right:C,ielex:right:3,ielex
right,DUTCH,jœyst,right:L,ielex:right:3,ielex
right,DUTCH,ɛχt,right:Y,ielex:right:3,ielex
right,DUTCH,war,right:X,ielex:right:17,ielex
right,DUTCH,rɛχtmatəɣ,right:C,ielex:right:2,ielex
right,DUTCH,rɛχts,rightside:D,ielex:right:2,ielex
right,ELFDALIAN,rɛtː,right:C,ielex:right:2,ielex
right,ELFDALIAN,ýːœgɛr,rightside:M,ielex:right:55,ielex
right,ENGLISH,raɪt,right:C,ielex:right:18,ielex
right,ENGLISH,raɪt,rightside:D,ielex:right:3,ielex
right,FAROESE,ˈɹaʰtːʊɹ,right:C,ielex:right:4,ielex
right,FAROESE,ˈhøːɡ̊ɹɪ,rightside:M,ielex:right:12,ielex
right,FRENCH,ʒyst,right:L,ielex:right:3,ielex
right,FRENCH,dʀwɑ,rightside:D,ielex:right:56,ielex
right,GERMAN,rɛçt,right:C,ielex:right:19,ielex
right,GERMAN,rɛçt,rightside:D,ielex:right:3,ielex
right,GREEK,so̞ˈsto̞s,right:N,ielex:right:7,ielex
right,GREEK,ðe̞ˌksiˈo̞s,rightside:G,ielex:right:20,ielex
right,GUTNISH_LAU,ˈreːtar,right:C,ielex:right:4,ielex
right,GUTNISH_LAU,ˈhyːɡar,rightside:M,ielex:right:21,ielex
right,ICELANDIC,ˈrjɛʰtːʏr,right:C,ielex:right:4,ielex
right,ICELANDIC,ˈhaiɣrɪ,rightside:M,ielex:right:22,ielex
right,IRISH,dʲas,rightside:G,ielex:right:23,ielex
right,ITALIAN,dʒusto,right:L,ielex:right:3,ielex
right,ITALIAN,dɛstro,rightside:G,ielex:right:24,ielex
right,LATIN,ˈrektus,right:C,ielex:right:6,ielex
right,LATIN,ˈdekster,rightside:G,ielex:right:4,ielex
right,MACEDONIAN,ˈpravilɛn,right:K,ielex:right:1,ielex
right,MACEDONIAN,ˈdesɛn,rightside:G,ielex:right:25,ielex
right,MAGAHI,tʰik,right:H,ielex:right:5,ielex
right,MAGAHI,d̪əhinɑ_t̪ərəpʰ,rightside:G,ielex:right:26,ielex
right,MARATHI,bəɾobəɾ,right:G,ielex:right:27,ielex
right,MARATHI,kʰəɾə,right:W,ielex:right:28,ielex
right,MIDDLE_BRETON,ˈreːθ,right:C,ielex:right:8,ielex
right,MIDDLE_BRETON,ˈdeːhow,rightside:G,ielex:right:29,ielex
right,MIDDLE_CORNISH,dɪhɔʊ,rightside:G,ielex:right:30,ielex
right,NORWEGIAN_RIKSMAL,rɛtː,right:C,ielex:right:2,ielex
right,NORWEGIAN_RIKSMAL,ˈhœʏɾə,rightside:M,ielex:right:31,ielex
right,OLD_CHURCH_SLAVONIC,prɑvʊ̆,right:K,ielex:right:1,ielex
right,OLD_CHURCH_SLAVONIC,dɛsnʊ̆,rightside:G,ielex:right:32,ielex
right,OLD_IRISH,kʹert,right:Z,ielex:right:33,ielex
right,OLD_IRISH,ko:rʹ,right:J,ielex:right:34,ielex
right,OLD_IRISH,dʹes,rightside:G,ielex:right:35,ielex
right,OLD_NORSE,reːtːr,right:C,ielex:right:4,ielex
right,OLD_NORSE,ˈhøːɡri,rightside:M,ielex:right:36,ielex
right,OLD_SWEDISH,ˈrætːer,right:C,ielex:right:4,ielex
right,OLD_SWEDISH,ˈhøːɡre,rightside:M,ielex:right:37,ielex
right,ORIYA,sɔʈhik,right:H,ielex:right:5,ielex
right,ORIYA,ɖahanɔ,rightside:G,ielex:right:38,ielex
right,OSSETIC,rast,right:D,ielex:right:39,ielex
right,OSSETIC,rast,rightside:R,ielex:right:3,ielex
right,OSSETIC_DIGOR,rast,right:D,ielex:right:3,ielex
right,OSSETIC_DIGOR,raχes,rightside:R,ielex:right:40,ielex
right,OSSETIC_IRON,rašt,right:D,ielex:right:3,ielex
right,OSSETIC_IRON,raχiž,rightside:R,ielex:right:41,ielex
right,POLISH,pɔˈpravnɘ̟,right:K,ielex:right:1,ielex
right,POLISH,ˈpravɘ̟,rightside:L,ielex:right:1,ielex
right,PORTUGUESE,kuˈʀɛtu,right:M,ielex:right:6,ielex
right,PORTUGUESE,diˈɾɐjtu,right:C,ielex:right:2,ielex
right,PORTUGUESE,diˈɾejtɐ,rightside:D,ielex:right:42,ielex
right,RUSSIAN,pravʲilʲnɨj,right:K,ielex:right:1,ielex
right,RUSSIAN,pravɨj,rightside:L,ielex:right:1,ielex
right,SERBO-CROATIAN,ˈîspraːvan,right:K,ielex:right:1,ielex
right,SERBO-CROATIAN,ˈtɔ̂tʃan,right:Ad,ielex:right:43,ielex
right,SERBO-CROATIAN,ˈdɛ̌sniː,rightside:G,ielex:right:44,ielex
right,SLOVAK,ˈspraːvni,right:K,ielex:right:1,ielex
right,SLOVAK,ˈpraviː,rightside:L,ielex:right:1,ielex
right,SLOVENIAN,praw,right:K,ielex:right:1,ielex
right,SLOVENIAN,děːsni,rightside:G,ielex:right:45,ielex
right,SORBIAN_LOWER,ˈpʂawɘ̟,right:K,ielex:right:46,ielex
right,SORBIAN_LOWER,ˈpʂawɘ̟,rightside:L,ielex:right:1,ielex
right,SORBIAN_UPPER,ˈpʀawɘ̟,right:K,ielex:right:47,ielex
right,SORBIAN_UPPER,ˈpʀawɘ̟,rightside:L,ielex:right:1,ielex
right,SPANISH,korekto,right:M,ielex:right:6,ielex
right,SPANISH,deɾeʧa,rightside:D,ielex:right:48,ielex
right,STAVANGERSK,ˈʁɛtːə,right:C,ielex:right:2,ielex
right,STAVANGERSK,ˈhʏ̀ɡʁə,rightside:M,ielex:right:49,ielex
right,SWEDISH,ˈrɪ̀ktɪɡ,right:C,ielex:right:2,ielex
right,SWEDISH,rɛtː,right:C,ielex:right:2,ielex
right,SWEDISH,ˈhø:gər,rightside:M,ielex:right:50,ielex
right,UKRAINIAN,ˈpravɪlʲnɪj,right:K,ielex:right:1,ielex
right,UKRAINIAN,ˈpravɪj,rightside:L,ielex:right:51,ielex
right,URDU,d̪ɾust,right:D,ielex:right:3,ielex
right,URDU,səhih,right:Ac,ielex:right:5,ielex
right,URDU,ʈʰik,right:H,ielex:right:5,ielex
good,ANCIENT_GREEK,aɡatʰós,good:Af,ielex:good:5,ielex
good,ANCIENT_GREEK,kalós,good:I,ielex:good:5,ielex
good,ANCIENT_GREEK,eu̯-,good:S,ielex:good:9,ielex
good,ARMENIAN_EASTERN,lɑv,good:D,ielex:good:7,ielex
good,BELARUSIAN,ˈdɔbrɨ,good:H,ielex:good:1,ielex
good,BIHARI,nik,good:An,ielex:good:10,ielex
good,BIHARI,barhĩyã,good:Al,ielex:good:1,ielex
good,BRETON,ˈmaːt,good:G,ielex:good:3,ielex
good,BULGARIAN,duˈbɤr,good:H,ielex:good:1,ielex
good,CATALAN,bɔ,good:F,ielex:good:1,ielex
good,CLASSICAL_ARMENIAN,bari,good:U,ielex:good:1,ielex
good,CLASSICAL_ARMENIAN,law,good:D,ielex:good:7,ielex
good,CZECH,ˈdɔbriː,good:H,ielex:good:1,ielex
good,DANISH,g̥oˀ,good:B,ielex:good:2,ielex
good,DANISH_FJOLDE,ɡuo,good:B,ielex:good:2,ielex
good,DUTCH,ɣut,good:B,ielex:good:2,ielex
good,ELFDALIAN,brɑː,good:Ag,ielex:good:1,ielex
good,ENGLISH,gʊd,good:B,ielex:good:2,ielex
good,FAROESE,ˈɡ̊ɔuːwʊɹ,good:B,ielex:good:2,ielex
good,FRENCH,bɔ̃,good:F,ielex:good:1,ielex
good,GERMAN,gu:t,good:B,ielex:good:2,ielex
good,GREEK,kaˈlo̞s,good:I,ielex:good:5,ielex
good,GREEK,aɣaˈθos,good:Af,ielex:good:5,ielex
good,GUTNISH_LAU,ˈbrɑːar,good:Ag,ielex:good:1,ielex
good,GUTNISH_LAU,ɡour,good:B,ielex:good:2,ielex
good,ICELANDIC,ˈɡ̊ouːðʏr,good:B,ielex:good:2,ielex
good,IRISH,mˠa,good:G,ielex:good:3,ielex
good,ITALIAN,bwɔno,good:F,ielex:good:6,ielex
good,LATIN,ˈbonus,good:F,ielex:good:6,ielex
good,MACEDONIAN,ˈdobar,good:H,ielex:good:1,ielex
good,MAGAHI,bəɽĩjɑ,good:Al,ielex:good:1,ielex
good,MAGAHI,nimən,good:Am,ielex:good:11,ielex
good,MARATHI,tsaŋglə,good:K,ielex:good:12,ielex
good,MIDDLE_BRETON,ˈmaːt,good:G,ielex:good:3,ielex
good,MIDDLE_CORNISH,da:,good:O,ielex:good:8,ielex
good,MIDDLE_CORNISH,ma:z,good:G,ielex:good:3,ielex
good,NORWEGIAN_RIKSMAL,bɾaː,good:Ag,ielex:good:1,ielex
good,NORWEGIAN_RIKSMAL,ɡuː,good:B,ielex:good:2,ielex
good,OLD_CHURCH_SLAVONIC,dɔbrʊ̆,good:H,ielex:good:1,ielex
good,OLD_IRISH,daɣ,good:O,ielex:good:8,ielex
good,OLD_IRISH,maθʹ,good:G,ielex:good:3,ielex
good,OLD_NORSE,ɡoːðr,good:B,ielex:good:2,ielex
good,OLD_SWEDISH,ˈɡoːðer,good:B,ielex:good:2,ielex
good,ORIYA,bhɔlɔ,good:E,ielex:good:6,ielex
good,OSSETIC,χorz,good:M,ielex:good:4,ielex
good,OSSETIC_DIGOR,χʷarz,good:M,ielex:good:4,ielex
good,OSSETIC_IRON,χorž,good:M,ielex:good:4,ielex
good,POLISH,ˈdɔbrɘ̟,good:H,ielex:good:1,ielex
good,PORTUGUESE,bõ,good:F,ielex:good:1,ielex
good,RUSSIAN,xarɔʂɨj,good:At,ielex:good:4,ielex
good,SERBO-CROATIAN,ˈdɔ̂bar,good:H,ielex:good:1,ielex
good,SLOVAK,ˈdɔbriː,good:H,ielex:good:1,ielex
good,SLOVENIAN,ˈdǒːbər,good:H,ielex:good:1,ielex
good,SORBIAN_LOWER,ˈdɔbrɘ̟,good:H,ielex:good:1,ielex
good,SORBIAN_UPPER,ˈdɔbʀɘ̟,good:H,ielex:good:1,ielex
good,SPANISH,bweno,good:F,ielex:good:6,ielex
good,STAVANGERSK,ˈɡuːə,good:B,ielex:good:2,ielex
good,STAVANGERSK,bʁɑː,good:Ag,ielex:good:1,ielex
good,SWEDISH,gu:d,good:B,ielex:good:2,ielex
good,SWEDISH,brɑː,good:Ag,ielex:good:1,ielex
good,UKRAINIAN,xɔˈrɔʂɪj,good:At,ielex:good:4,ielex
hair,ANCIENT_GREEK,tʰríkʰs,hair:Ab,ielex:hair:10,ielex
hair,ANCIENT_GREEK,kómɛː,hair:T,ielex:hair:11,ielex
hair,ARMENIAN_EASTERN,mɑz,hair:E,ielex:hair:4,ielex
hair,ARMENIAN_EASTERN,hɛɾ,hair:S,ielex:hair:1,ielex
hair,BELARUSIAN,vaɫaˈsɨ,hair:J,ielex:hair:2,ielex
hair,BIHARI,kes,hair:P,ielex:hair:6,ielex
hair,BRETON,ˈblɛw,hair:H,ielex:hair:5,ielex
hair,BULGARIAN,kuˈsa,hair:I,ielex:hair:2,ielex
hair,CATALAN,kəβɛʎ,hair:G,ielex:hair:3,ielex
hair,CATALAN,pɛl,hair:Q,ielex:hair:3,ielex
hair,CLASSICAL_ARMENIAN,her,hair:S,ielex:hair:1,ielex
hair,CLASSICAL_ARMENIAN,maz,hair:E,ielex:hair:4,ielex
hair,CZECH,ˈvlasɪ,hair:J,ielex:hair:2,ielex
hair,DANISH,hɒˀ,hair:B,ielex:hair:1,ielex
hair,DANISH_FJOLDE,hoaɹ,hair:B,ielex:hair:1,ielex
hair,DUTCH,har,hair:B,ielex:hair:1,ielex
hair,ELFDALIAN,ɔːr,hair:B,ielex:hair:1,ielex
hair,ENGLISH,hɛə,hair:B,ielex:hair:1,ielex
hair,FAROESE,hɔaːɹ,hair:B,ielex:hair:1,ielex
hair,FRENCH,ʃəvø,hair:G,ielex:hair:3,ielex
hair,FRISIAN,hi.ər,hair:B,ielex:hair:1,ielex
hair,GERMAN,ha:ɐ̯,hair:B,ielex:hair:1,ielex
hair,GREEK,maˈʎa,hair:K,ielex:hair:4,ielex
hair,GUTNISH_LAU,hɑːr,hair:B,ielex:hair:1,ielex
hair,ICELANDIC,hauːr,hair:B,ielex:hair:1,ielex
hair,ITALIAN,pelo,hair:Q,ielex:hair:3,ielex
hair,ITALIAN,kapello,hair:G,ielex:hair:3,ielex
hair,LATIN,kaˈpilːiː,hair:G,ielex:hair:3,ielex
hair,MACEDONIAN,ˈkosa,hair:I,ielex:hair:2,ielex
hair,MARATHI,kes,hair:P,ielex:hair:6,ielex
hair,MIDDLE_BRETON,ˈbleo,hair:H,ielex:hair:5,ielex
hair,MIDDLE_CORNISH,gɔlz,hair:J,ielex:hair:7,ielex
hair,MIDDLE_CORNISH,blɛˑʊ,hair:H,ielex:hair:5,ielex
hair,NORWEGIAN_RIKSMAL,hoːɾ,hair:B,ielex:hair:1,ielex
hair,OLD_CHURCH_SLAVONIC,vlɑsi,hair:J,ielex:hair:2,ielex
hair,OLD_IRISH,folt,hair:J,ielex:hair:2,ielex
hair,OLD_NORSE,skopt,hair:Ad,ielex:hair:8,ielex
hair,OLD_NORSE,haːr,hair:B,ielex:hair:1,ielex
hair,OLD_SWEDISH,haːr,hair:B,ielex:hair:1,ielex
hair,ORIYA,baɭɔ,hair:F,ielex:hair:3,ielex
hair,OSSETIC,qwɨn,hair:Z,ielex:hair:9,ielex
hair,OSSETIC_DIGOR,χelɐ,hair:R,ielex:hair:3,ielex
hair,OSSETIC_IRON,χil,hair:R,ielex:hair:3,ielex
hair,POLISH,vwɔsɘ̟,hair:J,ielex:hair:2,ielex
hair,PORTUGUESE,kɐˈβelu,hair:G,ielex:hair:3,ielex
hair,RUSSIAN,vɔɫɔsɨ,hair:J,ielex:hair:2,ielex
hair,SERBO-CROATIAN,ˈkɔ̌sa,hair:I,ielex:hair:2,ielex
hair,SLOVAK,ˈvlasi,hair:J,ielex:hair:2,ielex
hair,SLOVENIAN,ˈlâːsi,hair:J,ielex:hair:2,ielex
hair,SORBIAN_LOWER,ˈwɔsɛ,hair:J,ielex:hair:2,ielex
hair,SORBIAN_UPPER,ˈwɔsɘ̟,hair:J,ielex:hair:2,ielex
hair,SPANISH,kaβeʎo,hair:G,ielex:hair:3,ielex
hair,STAVANGERSK,hoːʁ,hair:B,ielex:hair:1,ielex
hair,SWEDISH,ho:r,hair:B,ielex:hair:1,ielex
hair,UKRAINIAN,ʋɔˈɫɔsʲsʲa,hair:J,ielex:hair:2,ielex
hair,URDU,bɑl,hair:F,ielex:hair:3,ielex
tie,ANCIENT_GREEK,déɔː,tie:J,ielex:tie:15,ielex
tie,ARMENIAN_EASTERN,kɑˈpɛl,tie:D,ielex:tie:7,ielex
tie,ASSAMESE,bandh,tie:B,ielex:tie:1,ielex
tie,BELARUSIAN,vʲaˈzatsʲ,tie:G,ielex:tie:2,ielex
tie,BULGARIAN,ˈvrɤzvəm,tie:F,ielex:tie:2,ielex
tie,CATALAN,ʎiɣa,tie:C,ielex:tie:4,ielex
tie,CLASSICAL_ARMENIAN,kapem,tie:D,ielex:tie:7,ielex
tie,CZECH,ˈvaːzat,tie:G,ielex:tie:2,ielex
tie,DANISH,ˈb̥enə,tie:B,ielex:tie:1,ielex
tie,DANISH,ˈɡ̊ʰnydə,tie:O,ielex:tie:3,ielex
tie,DANISH_FJOLDE,knød,tie:O,ielex:tie:3,ielex
tie,DANISH_FJOLDE,binʲ,tie:B,ielex:tie:1,ielex
tie,DUTCH,knopən,tie:O,ielex:tie:16,ielex
tie,DUTCH,bɪndən,tie:B,ielex:tie:1,ielex
tie,ELFDALIAN,ˈbɪ̀ndɑ,tie:B,ielex:tie:1,ielex
tie,ELFDALIAN,ˈknɔ̀ɪtɑ,tie:O,ielex:tie:3,ielex
tie,ENGLISH,taɪ,tie:H,ielex:tie:9,ielex
tie,FAROESE,ˈb̥ɪnd̥a,tie:B,ielex:tie:1,ielex
tie,FAROESE,ˈkʰnʊiːtʰa,tie:O,ielex:tie:3,ielex
tie,FRENCH,lje,tie:C,ielex:tie:10,ielex
tie,GERMAN,bɪndn̩,tie:B,ielex:tie:1,ielex
tie,GREEK,ˈðe̞no̞,tie:J,ielex:tie:11,ielex
tie,GUTNISH_LAU,ˈbɪndɛ,tie:B,ielex:tie:1,ielex
tie,GUTNISH_LAU,ˈsurːa,tie:R,ielex:tie:6,ielex
tie,GUTNISH_LAU,ˈknœɪtɛ,tie:O,ielex:tie:3,ielex
tie,ICELANDIC,ˈb̥ɪnd̥a,tie:B,ielex:tie:1,ielex
tie,ICELANDIC,ˈn̥iːtʰa,tie:O,ielex:tie:3,ielex
tie,ITALIAN,legare,tie:C,ielex:tie:4,ielex
tie,LATIN,liˈgaːre,tie:C,ielex:tie:4,ielex
tie,MACEDONIAN,ˈvərzɛ,tie:F,ielex:tie:2,ielex
tie,MAGAHI,bɑñd̪ʰnɑ,tie:B,ielex:tie:1,ielex
tie,MARATHI,bãndʰɳe,tie:B,ielex:tie:1,ielex
tie,MIDDLE_CORNISH,kɛlmi,tie:E,ielex:tie:12,ielex
tie,NORWEGIAN_RIKSMAL,ˈknʏ̀tːə,tie:O,ielex:tie:3,ielex
