concept,doculect,counterpart,cc,inferredCC,db
right,T-Agalyk,rɔst,B,central_asian:right:2,central_asian
right,T-Kamangaron 1,rɔst,B,central_asian:right:2,central_asian
right,T-Kamangaron 2,rɔst,B,central_asian:right:2,central_asian
right,T-Kamangaron 3,rɔst,B,central_asian:right:2,central_asian
right,T-Kamangaron 4,rɔst,B,central_asian:right:2,central_asian
right,T-Kaptarhona 1,rɔst,B,central_asian:right:2,central_asian
right,T-Kaptarhona 2,rɔst,B,central_asian:right:2,central_asian
right,T-Kaptarhona 3,rɔst,B,central_asian:right:2,central_asian
right,T-Kaptarhona 4,rɔst,B,central_asian:right:2,central_asian
right,T-Kaptarhona 5,rɔst,B,central_asian:right:2,central_asian
right,T-Navdî 1,rɔst,B,central_asian:right:2,central_asian
right,T-Navdî 2,rɔst,B,central_asian:right:2,central_asian
right,T-Navdî 3,rɔst,B,central_asian:right:2,central_asian
right,T-Nimich 1,rɔst,B,central_asian:right:2,central_asian
right,T-Nimich 2,rɔst,B,central_asian:right:2,central_asian
right,T-Nimich 3,rɔst,B,central_asian:right:2,central_asian
right,T-Nimich 4,rɔst,B,central_asian:right:2,central_asian
right,T-Novmetan 1,rɔst,B,central_asian:right:2,central_asian
right,T-Novmetan 2,rɔst,B,central_asian:right:2,central_asian
right,T-Nûshor 1,rɔst,B,central_asian:right:2,central_asian
right,T-Nûshor 2,rɔst,B,central_asian:right:2,central_asian
right,T-Nûshor 3,rɔst,B,central_asian:right:2,central_asian
right,T-Rishtan 1,rɔst,B,central_asian:right:2,central_asian
right,T-Rishtan 2,rɔst,B,central_asian:right:2,central_asian
right,T-Rishtan 3,rɔst,B,central_asian:right:2,central_asian
right,T-Shink 1,rɔst,B,central_asian:right:2,central_asian
right,T-Shink 2,rɔst,B,central_asian:right:2,central_asian
right,T-Shink 3,rɔst,B,central_asian:right:2,central_asian
right,T-Urmetan 1,rɔst,B,central_asian:right:2,central_asian
right,T-Urmetan 2,rɔst,B,central_asian:right:2,central_asian
right,T-Urmetan 3,rɔst,B,central_asian:right:2,central_asian
right,T-Urmetan 4,rɔst,B,central_asian:right:2,central_asian
right,T-Zarmanak 1,rɔst,B,central_asian:right:2,central_asian
right,T-Zarmanak 2,rɔst,B,central_asian:right:2,central_asian
right,U-Hitoy 1,wɔŋ,A,central_asian:right:1,central_asian
right,U-Hitoy 2,wɔŋ,A,central_asian:right:1,central_asian
right,U-Hitoy 3,wɔŋ,A,central_asian:right:1,central_asian
right,U-Novmetan 3,ʉŋa,A,central_asian:right:1,central_asian
right,U-Soy Mahalla 1,ɔŋ,A,central_asian:right:1,central_asian
right,U-Soy Mahalla 2,wɔŋ,A,central_asian:right:1,central_asian
right,U-Soy Mahalla 3,wɔŋ,A,central_asian:right:1,central_asian
right,U-Urtoqqishloq 1,wʊŋ,A,central_asian:right:1,central_asian
right,U-Urtoqqishloq 2,wʊŋ,A,central_asian:right:1,central_asian
right,U-Urtoqqishloq 3,wʊŋ,A,central_asian:right:1,central_asian
right,U-Urtoqqishloq 4,ʊŋ,A,central_asian:right:1,central_asian
right,U-Zarmanak 3,uŋ,A,central_asian:right:1,central_asian
right,U-Zarmanak 4,ʉŋ,A,central_asian:right:1,central_asian
right,Y-Dugova 1,raska,C,central_asian:right:2,central_asian
right,Y-Dugova 2,raska,C,central_asian:right:2,central_asian
right,Y-Safedorak 1,raska,C,central_asian:right:2,central_asian
right,Y-Safedorak 2,raska,C,central_asian:right:2,central_asian
good,KK-Halqabad 1,zaxs,A,central_asian:good:1,central_asian
good,KK-Halqabad 2,zaxs,A,central_asian:good:1,central_asian
good,KK-Halqabad 3,zaxs,A,central_asian:good:1,central_asian
good,KK-Kokdarya 1,jaxs,A,central_asian:good:1,central_asian
good,KK-Kokdarya 2,zaxs,A,central_asian:good:1,central_asian
good,KK-Kokdarya 3,zaxs,A,central_asian:good:1,central_asian
good,KK-Kokdarya 4,zaxs,A,central_asian:good:1,central_asian
good,KK-Shege 1,zaxs,A,central_asian:good:1,central_asian
good,KK-Shege 2,zaxs,A,central_asian:good:1,central_asian
good,KK-Shege 3,zaxs,A,central_asian:good:1,central_asian
good,KK-Shege 4,zaxs,A,central_asian:good:1,central_asian
good,Ka-Gazli 1,zaxsə,A,central_asian:good:1,central_asian
good,Ka-Gazli 2,zaxsə,A,central_asian:good:1,central_asian
good,Ka-Gazli 3,zaxsə,A,central_asian:good:1,central_asian
good,Ka-Gazli 4,zaxsə,A,central_asian:good:1,central_asian
good,Ka-Gazli 5,zaxsə,A,central_asian:good:1,central_asian
good,Ka-Gazli 6,zaxsə,A,central_asian:good:1,central_asian
good,Ka-Gazli 7,zaxsə,A,central_asian:good:1,central_asian
good,Ka-Raushan 1,zaxs,A,central_asian:good:1,central_asian
good,Ka-Raushan 2,zaxs,A,central_asian:good:1,central_asian
good,Ka-Raushan 3,zaxs,A,central_asian:good:1,central_asian
good,Ka-Raushan 4,zaxs,A,central_asian:good:1,central_asian
good,Ki-Akmuz 1,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Akmuz 2,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Akmuz 3,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Barskoon,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Kulanak 1,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Kulanak 2,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Kulanak 3,dzaqsi,A,central_asian:good:1,central_asian
good,Ki-Kulanak 4,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Kulanak 5,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Orday 1,dzaqs,A,central_asian:good:1,central_asian
good,Ki-Orday 2,dzaqsi,A,central_asian:good:1,central_asian
good,Ki-Orday 3,dzaxsi,A,central_asian:good:1,central_asian
good,Ki-Orday 4,dzaxs,A,central_asian:good:1,central_asian
good,Ki-Tamga,dzaqs,A,central_asian:good:1,central_asian
good,T-Agalyk,xub,D,central_asian:good:3,central_asian
good,T-Kamangaron 1,nagz,E,central_asian:good:2,central_asian
good,T-Kamangaron 2,nagz,E,central_asian:good:2,central_asian
good,T-Kamangaron 3,nagz̥,E,central_asian:good:2,central_asian
good,T-Kamangaron 4,nagz,E,central_asian:good:2,central_asian
good,T-Kaptarhona 1,nagəz,E,central_asian:good:2,central_asian
good,T-Kaptarhona 2,nagz,E,central_asian:good:2,central_asian
good,T-Kaptarhona 3,nagz,E,central_asian:good:2,central_asian
good,T-Kaptarhona 4,nagz,E,central_asian:good:2,central_asian
good,T-Kaptarhona 5,nagz,E,central_asian:good:2,central_asian
good,T-Navdî 1,xub,D,central_asian:good:3,central_asian
good,T-Navdî 2,xub,D,central_asian:good:3,central_asian
good,T-Navdî 3,xub,D,central_asian:good:3,central_asian
good,T-Nimich 1,nagz̥,E,central_asian:good:2,central_asian
good,T-Nimich 2,nagz,E,central_asian:good:2,central_asian
good,T-Nimich 3,xub,D,central_asian:good:3,central_asian
good,T-Nimich 4,xup,D,central_asian:good:3,central_asian
good,T-Novmetan 1,sara,F,central_asian:good:4,central_asian
good,T-Novmetan 2,sara,F,central_asian:good:4,central_asian
good,T-Nûshor 1,nagz,E,central_asian:good:2,central_asian
good,T-Nûshor 2,nagz,E,central_asian:good:2,central_asian
good,T-Nûshor 3,xub,D,central_asian:good:3,central_asian
good,T-Rishtan 1,nagz,E,central_asian:good:2,central_asian
good,T-Rishtan 2,nagz,E,central_asian:good:2,central_asian
good,T-Rishtan 3,nagz,E,central_asian:good:2,central_asian
good,T-Shink 1,nagz,E,central_asian:good:2,central_asian
good,T-Shink 2,nagz,E,central_asian:good:2,central_asian
good,T-Shink 3,nagz,E,central_asian:good:2,central_asian
good,T-Urmetan 1,nagz,E,central_asian:good:2,central_asian
good,T-Urmetan 2,nagz,E,central_asian:good:2,central_asian
good,T-Urmetan 3,nagz,E,central_asian:good:2,central_asian
good,T-Urmetan 4,nagz,E,central_asian:good:2,central_asian
good,T-Zarmanak 1,nagz,E,central_asian:good:2,central_asian
good,T-Zarmanak 2,nagz,E,central_asian:good:2,central_asian
good,U-Hitoy 1,jaxs,A,central_asian:good:1,central_asian
good,U-Hitoy 2,jaxs,A,central_asian:good:1,central_asian
good,U-Hitoy 3,jaxs,A,central_asian:good:1,central_asian
good,U-Novmetan 3,jaxsi,A,central_asian:good:1,central_asian
good,U-Soy Mahalla 1,jaxs,A,central_asian:good:1,central_asian
good,U-Soy Mahalla 2,jaxsə,A,central_asian:good:1,central_asian
good,U-Soy Mahalla 3,jaxsə,A,central_asian:good:1,central_asian
good,U-Urtoqqishloq 1,jaxsi,A,central_asian:good:1,central_asian
good,U-Urtoqqishloq 2,jaxsə,A,central_asian:good:1,central_asian
good,U-Urtoqqishloq 3,jaxsə,A,central_asian:good:1,central_asian
good,U-Urtoqqishloq 4,jaxsi,A,central_asian:good:1,central_asian
good,U-Zarmanak 3,jaxsi,A,central_asian:good:1,central_asian
good,U-Zarmanak 4,jaxsi,A,central_asian:good:1,central_asian
good,Y-Dugova 1,nagz,E,central_asian:good:2,central_asian
good,Y-Dugova 2,xusru:,G,central_asian:good:3,central_asian
good,Y-Safedorak 1,xup,D,central_asian:good:3,central_asian
good,Y-Safedorak 2,xursu:,G,central_asian:good:3,central_asian
hair,KK-Halqabad 1,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Halqabad 2,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Halqabad 3,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Kokdarya 1,sas,A,central_asian:hair:1,central_asian
hair,KK-Kokdarya 2,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Kokdarya 3,saʃ,A,central_asian:hair:1,central_asian
hair,KK-Kokdarya 4,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Shege 1,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Shege 2,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Shege 3,ʃaʃ,A,central_asian:hair:1,central_asian
hair,KK-Shege 4,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Gazli 1,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Gazli 2,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Gazli 3,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Gazli 4,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Gazli 5,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Gazli 6,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Gazli 7,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Raushan 1,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Raushan 2,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Raushan 3,ʃaʃ,A,central_asian:hair:1,central_asian
hair,Ka-Raushan 4,ʧas,A,central_asian:hair:1,central_asian
hair,Ki-Akmuz 1,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Akmuz 2,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Akmuz 3,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Barskoon,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Kulanak 1,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Kulanak 2,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Kulanak 3,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Kulanak 4,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Kulanak 5,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Orday 1,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Orday 2,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Orday 3,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Orday 4,ʧaʧ,A,central_asian:hair:1,central_asian
hair,Ki-Tamga,ʧaʧ,A,central_asian:hair:1,central_asian
hair,T-Agalyk,muj,C,central_asian:hair:2,central_asian
hair,T-Kamangaron 1,møj,C,central_asian:hair:2,central_asian
hair,T-Kamangaron 2,møj,C,central_asian:hair:2,central_asian
hair,T-Kamangaron 3,mø,C,central_asian:hair:2,central_asian
hair,T-Kamangaron 4,møhɔ,C,central_asian:hair:2,central_asian
hair,T-Kaptarhona 1,mʊ,C,central_asian:hair:2,central_asian
hair,T-Kaptarhona 2,muj,C,central_asian:hair:2,central_asian
hair,T-Kaptarhona 3,mu,C,central_asian:hair:2,central_asian
hair,T-Kaptarhona 4,qil,D,central_asian:hair:5,central_asian
hair,T-Kaptarhona 5,muh,C,central_asian:hair:2,central_asian
hair,T-Navdî 1,muj,C,central_asian:hair:2,central_asian
hair,T-Navdî 2,muj,C,central_asian:hair:2,central_asian
hair,T-Navdî 3,mu,C,central_asian:hair:2,central_asian
hair,T-Nimich 1,mu,C,central_asian:hair:2,central_asian
hair,T-Nimich 2,mujhɔ,C,central_asian:hair:2,central_asian
hair,T-Nimich 3,mʊ,C,central_asian:hair:2,central_asian
hair,T-Nimich 4,mʊˑ,C,central_asian:hair:2,central_asian
hair,T-Novmetan 1,mʉj,C,central_asian:hair:2,central_asian
hair,T-Novmetan 2,mʉj,C,central_asian:hair:2,central_asian
hair,T-Nûshor 1,mʊj,C,central_asian:hair:2,central_asian
hair,T-Nûshor 2,mʊj,C,central_asian:hair:2,central_asian
hair,T-Nûshor 3,mʊ,C,central_asian:hair:2,central_asian
hair,T-Rishtan 1,muː,C,central_asian:hair:2,central_asian
hair,T-Rishtan 2,muː,C,central_asian:hair:2,central_asian
hair,T-Rishtan 3,mu,C,central_asian:hair:2,central_asian
hair,T-Shink 1,mɔj,C,central_asian:hair:2,central_asian
hair,T-Shink 2,mʊj,C,central_asian:hair:2,central_asian
hair,T-Shink 3,mʊj,C,central_asian:hair:2,central_asian
hair,T-Urmetan 1,mʊj,C,central_asian:hair:2,central_asian
hair,T-Urmetan 2,mʊj,C,central_asian:hair:2,central_asian
hair,T-Urmetan 3,mʊj,C,central_asian:hair:2,central_asian
hair,T-Urmetan 4,mʊ,C,central_asian:hair:2,central_asian
hair,T-Zarmanak 1,mʉj,C,central_asian:hair:2,central_asian
hair,T-Zarmanak 2,mʉj,C,central_asian:hair:2,central_asian
hair,U-Hitoy 1,ʧaʧ,A,central_asian:hair:1,central_asian
hair,U-Hitoy 2,ʧaʧ,A,central_asian:hair:1,central_asian
hair,U-Hitoy 3,ʧaʃ,A,central_asian:hair:1,central_asian
hair,U-Novmetan 3,sɔʧ,A,central_asian:hair:1,central_asian
hair,U-Soy Mahalla 1,sɔʧ,A,central_asian:hair:1,central_asian
hair,U-Soy Mahalla 2,sɒʧ,A,central_asian:hair:1,central_asian
hair,U-Soy Mahalla 3,ʃɔʧ,A,central_asian:hair:1,central_asian
hair,U-Urtoqqishloq 1,sɔʧ,A,central_asian:hair:1,central_asian
hair,U-Urtoqqishloq 2,sɔʧ,A,central_asian:hair:1,central_asian
hair,U-Urtoqqishloq 3,sɔʧ,A,central_asian:hair:1,central_asian
hair,U-Urtoqqishloq 4,sɔʧ,A,central_asian:hair:1,central_asian
hair,U-Zarmanak 3,sɔʧ,A,central_asian:hair:1,central_asian
hair,U-Zarmanak 4,sɔʧ,A,central_asian:hair:1,central_asian
hair,Y-Dugova 1,paʃm̩,E,central_asian:hair:4,central_asian
hair,Y-Dugova 2,darav,F,central_asian:hair:3,central_asian
hair,Y-Safedorak 1,diraβ,F,central_asian:hair:3,central_asian
hair,Y-Safedorak 2,dɪraw,F,central_asian:hair:3,central_asian
hair,Y-Safedorak 3,dɪraβ,F,central_asian:hair:3,central_asian
wife,KK-Halqabad 1,hajal,A,central_asian:wife:2,central_asian
wife,KK-Halqabad 2,hajal,A,central_asian:wife:2,central_asian
wife,KK-Halqabad 3,ajal,A,central_asian:wife:2,central_asian
wife,KK-Kokdarya 1,ajel,A,central_asian:wife:2,central_asian
wife,KK-Kokdarya 2,hajalɨ,A,central_asian:wife:2,central_asian
wife,KK-Kokdarya 3,qatɨn,B,central_asian:wife:3,central_asian
wife,KK-Kokdarya 4,hajal,A,central_asian:wife:2,central_asian
wife,KK-Shege 1,zajif,C,central_asian:wife:1,central_asian
wife,KK-Shege 2,qatɨn,B,central_asian:wife:3,central_asian
wife,KK-Shege 3,hajal,A,central_asian:wife:2,central_asian
wife,KK-Shege 4,hajɪle,A,central_asian:wife:2,central_asian
wife,Ka-Gazli 1,ajɪł,A,central_asian:wife:2,central_asian
wife,Ka-Gazli 2,ajɪł,A,central_asian:wife:2,central_asian
wife,Ka-Gazli 3,ajɪł,A,central_asian:wife:2,central_asian
wife,Ka-Gazli 4,ajɪl,A,central_asian:wife:2,central_asian
wife,Ka-Gazli 5,qatɪn,B,central_asian:wife:3,central_asian
wife,Ka-Gazli 6,ajelə,A,central_asian:wife:2,central_asian
wife,Ka-Raushan 1,ɛjɪl,A,central_asian:wife:2,central_asian
wife,Ka-Raushan 2,qatɨn,B,central_asian:wife:3,central_asian
wife,Ka-Raushan 3,qatɨn,B,central_asian:wife:3,central_asian
wife,Ka-Raushan 4,hajel,A,central_asian:wife:2,central_asian
wife,Ki-Akmuz 1,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Akmuz 2,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Akmuz 3,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Barskoon,aja,A,central_asian:wife:2,central_asian
wife,Ki-Kulanak 1,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Kulanak 2,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Kulanak 3,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Kulanak 4,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Kulanak 5,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Orday 1,katɨn,B,central_asian:wife:3,central_asian
wife,Ki-Orday 2,xɔtɨn,B,central_asian:wife:3,central_asian
wife,Ki-Orday 3,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Orday 4,ajal,A,central_asian:wife:2,central_asian
wife,Ki-Tamga,ajal,A,central_asian:wife:2,central_asian
wife,T-Agalyk,zan,K,central_asian:wife:1,central_asian
wife,T-Kamangaron 1,zan,K,central_asian:wife:1,central_asian
wife,T-Kamangaron 2,zan,K,central_asian:wife:1,central_asian
wife,T-Kamangaron 3,zajif,C,central_asian:wife:1,central_asian
wife,T-Kamangaron 4,zan,K,central_asian:wife:1,central_asian
wife,T-Kaptarhona 1,zan,K,central_asian:wife:1,central_asian
wife,T-Kaptarhona 2,zan,K,central_asian:wife:1,central_asian
wife,T-Kaptarhona 3,zan,K,central_asian:wife:1,central_asian
wife,T-Kaptarhona 4,zan,K,central_asian:wife:1,central_asian
wife,T-Kaptarhona 5,zan,K,central_asian:wife:1,central_asian
wife,T-Navdî 1,zan,K,central_asian:wife:1,central_asian
wife,T-Navdî 2,zanak,L,central_asian:wife:1,central_asian
wife,T-Navdî 3,zan,K,central_asian:wife:1,central_asian
wife,T-Nimich 1,zan,K,central_asian:wife:1,central_asian
wife,T-Nimich 2,zan,K,central_asian:wife:1,central_asian
wife,T-Nimich 3,zan,K,central_asian:wife:1,central_asian
wife,T-Nimich 4,zan,K,central_asian:wife:1,central_asian
wife,T-Novmetan 1,zan,K,central_asian:wife:1,central_asian
wife,T-Novmetan 2,zan,K,central_asian:wife:1,central_asian
wife,T-Nûshor 1,zanak,L,central_asian:wife:1,central_asian
wife,T-Nûshor 2,zan,K,central_asian:wife:1,central_asian
wife,T-Nûshor 3,zan,K,central_asian:wife:1,central_asian
wife,T-Rishtan 1,zan,K,central_asian:wife:1,central_asian
wife,T-Rishtan 2,zan,K,central_asian:wife:1,central_asian
wife,T-Rishtan 3,zanak,L,central_asian:wife:1,central_asian
wife,T-Shink 1,zan,K,central_asian:wife:1,central_asian
wife,T-Shink 2,zan,K,central_asian:wife:1,central_asian
wife,T-Shink 3,zan,K,central_asian:wife:1,central_asian
wife,T-Urmetan 1,zan,K,central_asian:wife:1,central_asian
wife,T-Urmetan 2,zan,K,central_asian:wife:1,central_asian
wife,T-Urmetan 3,zan,K,central_asian:wife:1,central_asian
wife,T-Urmetan 4,zan,K,central_asian:wife:1,central_asian
wife,T-Zarmanak 1,zajif,C,central_asian:wife:1,central_asian
wife,T-Zarmanak 2,zan,K,central_asian:wife:1,central_asian
wife,U-Hitoy 1,xatɨn,B,central_asian:wife:3,central_asian
wife,U-Hitoy 2,ajel,A,central_asian:wife:2,central_asian
wife,U-Hitoy 3,ajel,A,central_asian:wife:2,central_asian
wife,U-Novmetan 3,xɔtɪn,B,central_asian:wife:3,central_asian
wife,U-Soy Mahalla 1,xɔtɨn,B,central_asian:wife:3,central_asian
wife,U-Soy Mahalla 2,xɔtɨn,B,central_asian:wife:3,central_asian
wife,U-Soy Mahalla 3,xɔtɨn,B,central_asian:wife:3,central_asian
wife,U-Urtoqqishloq 1,xɔtɪn,B,central_asian:wife:3,central_asian
wife,U-Urtoqqishloq 2,xɔtɪn,B,central_asian:wife:3,central_asian
wife,U-Urtoqqishloq 3,xɔtən,B,central_asian:wife:3,central_asian
wife,U-Urtoqqishloq 4,xɔtɪn,B,central_asian:wife:3,central_asian
wife,U-Zarmanak 3,xotɨn,B,central_asian:wife:3,central_asian
wife,U-Zarmanak 4,xɔtɨn,B,central_asian:wife:3,central_asian
wife,Y-Dugova 1,inʧ,M,central_asian:wife:4,central_asian
wife,Y-Dugova 2,inʧ,M,central_asian:wife:4,central_asian
wife,Y-Safedorak 1,inʧ,M,central_asian:wife:4,central_asian
wife,Y-Safedorak 2,inʧ,M,central_asian:wife:4,central_asian
wife,Y-Safedorak 3,inʧ,M,central_asian:wife:4,central_asian
husband,KK-Halqabad 1,jer,D,central_asian:husband:1,central_asian
husband,KK-Halqabad 2,jer,D,central_asian:husband:1,central_asian
husband,KK-Halqabad 3,jer,D,central_asian:husband:1,central_asian
husband,KK-Kokdarya 1,kʉjʊw,A,central_asian:husband:2,central_asian
husband,KK-Kokdarya 2,kʉjəwɨ,A,central_asian:husband:2,central_asian
husband,KK-Kokdarya 3,jɛr,D,central_asian:husband:1,central_asian
husband,KK-Kokdarya 4,jɛr,D,central_asian:husband:1,central_asian
husband,KK-Shege 1,kɪjʊ,A,central_asian:husband:2,central_asian
husband,KK-Shege 2,jer,D,central_asian:husband:1,central_asian
husband,KK-Shege 3,kɪjʊ,A,central_asian:husband:2,central_asian
husband,KK-Shege 4,kɪjʊvɐ,A,central_asian:husband:2,central_asian
husband,Ka-Gazli 1,kyjəw,A,central_asian:husband:2,central_asian
husband,Ka-Gazli 2,jɪrkek,B,central_asian:husband:1,central_asian
husband,Ka-Gazli 3,bajɪm,C,central_asian:husband:6,central_asian
husband,Ka-Gazli 4,kʉjew,A,central_asian:husband:2,central_asian
husband,Ka-Gazli 5,kʉjew,A,central_asian:husband:2,central_asian
husband,Ka-Gazli 6,kʉjwə,A,central_asian:husband:2,central_asian
husband,Ka-Gazli 7,kɨjəw,A,central_asian:husband:2,central_asian
husband,Ka-Raushan 1,jɪrkɛk,B,central_asian:husband:1,central_asian
husband,Ka-Raushan 2,kʉjəwɪ,A,central_asian:husband:2,central_asian
husband,Ka-Raushan 3,jer,D,central_asian:husband:1,central_asian
husband,Ka-Raushan 4,jer,D,central_asian:husband:1,central_asian
husband,Ki-Akmuz 1,kyjœː,A,central_asian:husband:2,central_asian
husband,Ki-Akmuz 2,gyjøː,A,central_asian:husband:2,central_asian
husband,Ki-Akmuz 3,ɛr,D,central_asian:husband:1,central_asian
husband,Ki-Barskoon,kyjœː,A,central_asian:husband:2,central_asian
husband,Ki-Kulanak 1,kyjøː,A,central_asian:husband:2,central_asian
husband,Ki-Kulanak 2,gyjøː,A,central_asian:husband:2,central_asian
husband,Ki-Kulanak 3,gyjøː,A,central_asian:husband:2,central_asian
husband,Ki-Kulanak 4,gyjøː,A,central_asian:husband:2,central_asian
husband,Ki-Kulanak 5,gyjøː,A,central_asian:husband:2,central_asian
husband,Ki-Orday 1,er,D,central_asian:husband:1,central_asian
husband,Ki-Orday 2,er,D,central_asian:husband:1,central_asian
husband,Ki-Orday 3,ɪrkɛk,B,central_asian:husband:1,central_asian
husband,Ki-Orday 4,eʃ,D,central_asian:husband:3,central_asian
husband,Ki-Tamga,kyjøː,A,central_asian:husband:2,central_asian
husband,T-Agalyk,ʃuː,I,central_asian:husband:3,central_asian
husband,T-Kamangaron 1,ʃawhar,J,central_asian:husband:5,central_asian
husband,T-Kamangaron 2,ʃøː,I,central_asian:husband:3,central_asian
husband,T-Kamangaron 3,mard,L,central_asian:husband:4,central_asian
husband,T-Kamangaron 4,mard,L,central_asian:husband:4,central_asian
husband,T-Kaptarhona 1,ʃuː,I,central_asian:husband:3,central_asian
husband,T-Kaptarhona 2,ʃʊw,I,central_asian:husband:3,central_asian
husband,T-Kaptarhona 3,ʃuː,I,central_asian:husband:3,central_asian
husband,T-Kaptarhona 4,ʃʊː,I,central_asian:husband:3,central_asian
